year,period,revenue,netIncome,eps,totalAssets,totalLiabilities,equity
2024,FY,391035000000.0,93736000000.0,6.11,152987000000,176392000000,56950000000.0
2023,FY,383285000000.0,96995000000.0,6.16,143566000000,145308000000,62146000000.0
2022,FY,394328000000.0,99803000000.0,6.15,135405000000,153982000000,50672000000.0
2021,FY,365817000000.0,94680000000.0,5.67,134836000000,125481000000,63090000000.0
2020,FY,274515000000.0,57411000000.0,3.31,143713000000,105392000000,65339000000.0
2025,Q2,219659000000.0,61110000000.0,4.06,118674000000,144571000000,66796000000.0
2025,Q1,124300000000.0,36330000000.0,2.41,133240000000,144365000000,66758000000.0
2024,Q3,296105000000.0,79000000000.0,5.13,125435000000,131624000000,66708000000.0
2024,Q2,210328000000.0,57552000000.0,3.72,128416000000,123822000000,74194000000.0
2024,Q1,119575000000.0,33916000000.0,2.19,143692000000,133973000000,74100000000.0
2023,Q3,293787000000.0,74039000000.0,4.69,122659000000,124963000000,60274000000.0
2023,Q2,211990000000.0,54158000000.0,3.42,112913000000,120075000000,62158000000.0
2023,Q1,117154000000.0,29998000000.0,1.89,128777000000,137286000000,56727000000.0
2022,Q3,304182000000.0,79082000000.0,4.86,112292000000,129873000000,58107000000.0
2022,Q2,221223000000.0,59640000000.0,3.65,118180000000,127508000000,67399000000.0
2022,Q1,123945000000.0,34630000000.0,2.11,153154000000,147574000000,71932000000.0
2021,Q3,282457000000.0,74129000000.0,4.42,114423000000,107754000000,64280000000.0
2021,Q2,201023000000.0,52385000000.0,3.11,121465000000,106385000000,69178000000.0
2021,Q1,111439000000.0,28755000000.0,1.7,154106000000,132507000000,66224000000.0
2020,Q3,209817000000.0,44738000000.0,10.25,140065000000,95318000000,72282000000.0
2020,Q2,150132000000.0,33485000000.0,7.63,143753000000,96094000000,78425000000.0
2020,Q1,91819000000.0,22236000000.0,5.04,163231000000,102161000000,89531000000.0
2019,Q3,196134000000.0,41570000000.0,8.92,134973000000,89704000000,96456000000.0
2019,Q2,142325000000.0,31526000000.0,6.7,123346000000,93772000000,105860000000.0
2019,Q1,84310000000.0,19965000000.0,4.0,373719000000,255827000000,117892000000.0
2018,Q3,202695000000.0,45406000000.0,9.0,349197000000,234248000000,114949000000.0
2018,Q2,149430000000.0,33887000000.0,6.0,367502000000,240624000000,126878000000.0
2018,Q1,88293000000.0,20065000000.0,3.0,406794000000,266595000000,140199000000.0
2017,Q3,176655000000.0,37637000000.0,7.0,345173000000,212748000000,132425000000.0
2017,Q2,131247000000.0,28920000000.0,5.0,334532000000,200450000000,134082000000.0
2017,Q1,78351000000.0,17891000000.0,3.0,331141000000,198751000000,132390000000.0
2016,Q3,168787000000.0,36673000000.0,6.0,305602000000,179061000000,126541000000.0
2016,Q2,126429000000.0,28877000000.0,5.0,87592000000,68265000000,130457000000.0
2016,Q1,75872000000.0,18361000000.0,3.0,76219000000,76092000000,128267000000.0
2015,Q3,182214000000.0,42270000000.0,7.0,70953000000,65285000000,125677000000.0
2015,Q2,132609000000.0,31593000000.0,5.0,261194000000,58729000000,129006000000.0
2015,Q1,74599000000.0,18024000000.0,3.0,261894000000,73611000000,123328000000.0
2014,Q3,140672000000.0,31043000000.0,5.0,222520000000,46205000000,120940000000.0
2014,Q2,103240000000.0,23295000000.0,26.0,205989000000,43208000000,120179000000.0
2014,Q1,57594000000.0,13072000000.0,14.0,225184000000,53769000000,129684000000.0
2013,Q3,133438000000.0,29525000000.0,31.0,199856000000,36319000000,123354000000.0
2013,Q2,98115000000.0,22625000000.0,24.0,194743000000,59253000000,135490000000.0
2013,Q1,54512000000.0,13078000000.0,13.0,196088000000,68742000000,127346000000.0
2012,Q3,120542000000.0,33510000000.0,35.0,162896000000,51150000000,111746000000.0
2012,Q2,85519000000.0,24686000000.0,26.0,150934000000,48436000000,102498000000.0
2012,Q1,46333000000.0,13064000000.0,14.0,138681000000,34607000000,90054000000.0
2011,Q3,79979000000.0,19299000000.0,20.0,106758000000,26859000000,69343000000.0
2011,Q2,51408000000.0,11991000000.0,13.0,94904000000,33427000000,61477000000.0
2011,Q1,26741000000.0,6004000000.0,6.0,86742000000,32076000000,54666000000.0
2010,Q3,44882000000.0,9705000000.0,10.0,64725000000,21614000000,43111000000.0
2010,Q2,29182000000.0,6452000000.0,7.0,57057000000,17709000000,39348000000.0
